count,year,count_m,count_f,score_m,score_f,prop_f,diff_mf,diff_fm
31,1274,25,6,20.77227472,19.729693,0.1935483870967742,1.0425817199999976,-1.04258172
73,1275,64,9,21.13613938,18.810256777777777,0.1232876712328767,2.325882597222222,-2.325882597
30,1276,24,6,20.787460791666664,21.324120333333333,0.2,-0.536659542,0.5366595416666691
31,1277,27,4,20.65714848148148,23.8665155,0.12903225806451613,-3.209367019,3.209367018518517
29,1278,23,6,20.630371391304347,21.545895333333334,0.20689655172413793,-0.915523942,0.9155239420289867
22,1279,21,1,20.333764333333335,21.120516,0.045454545454545456,-0.786751667,0.7867516666666639
123,1280,109,14,19.803913917431192,21.085129714285717,0.11382113821138211,-1.281215797,1.281215796854525
20,1281,18,2,20.331948111111114,24.6140215,0.1,-4.282073389,4.282073388888886
36,1282,29,7,21.362277827586205,22.52889657142857,0.19444444444444445,-1.166618744,1.166618743842367
31,1283,27,4,20.51517737037037,24.53834875,0.12903225806451613,-4.02317138,4.0231713796296305
25,1284,23,2,21.923510999999998,19.552931,0.08,2.370579999999997,-2.37058
64,1285,55,9,20.52341887272727,21.556576666666665,0.140625,-1.033157794,1.0331577939393952
30,1286,23,7,20.27731313043478,20.171392,0.23333333333333334,0.1059211304347798,-0.10592113
33,1287,27,6,21.636502333333333,19.623705,0.18181818181818182,2.0127973333333316,-2.012797333
40,1288,37,3,21.87742197297297,18.10792066666667,0.075,3.769501306306303,-3.769501306
31,1289,24,7,20.910513166666664,22.356561571428568,0.22580645161290322,-1.446048405,1.4460484047619033
134,1290,117,17,20.286315606837608,20.128036352941177,0.12686567164179105,0.15827925389643127,-0.158279254
38,1291,32,6,20.93752547,18.995691333333333,0.15789473684210525,1.9418341354166664,-1.941834135
44,1292,32,12,20.82693472,23.791226249999998,0.2727272727272727,-2.964291531,2.964291531249998
34,1293,24,10,21.578440916666665,22.5441271,0.29411764705882354,-0.965686183,0.9656861833333359
30,1294,25,5,21.69794848,18.926216599999997,0.16666666666666666,2.7717318800000044,-2.77173188
51,1295,42,9,20.181031452380953,21.824175333333333,0.17647058823529413,-1.643143881,1.6431438809523797
26,1296,23,3,22.165374391304347,22.245015666666664,0.11538461538461539,-0.079641275,0.079641275
43,1297,36,7,20.09541036111111,20.742217714285715,0.16279069767441862,-0.646807353,0.646807353
36,1298,32,4,19.88545656,18.474303,0.1111111111111111,1.411153562500001,-1.411153563
32,1299,27,5,20.548676888888888,18.1358228,0.15625,2.4128540888888885,-2.412854089
201,1300,182,19,19.396719516483518,20.359872894736842,0.094527363,-0.963153378,0.9631533782533239
29,1301,26,3,22.68600173076923,19.746042333333335,0.10344827586206896,2.9399593974358957,-2.939959397
26,1302,24,2,19.597869666666668,17.857606,0.076923077,1.7402636666666673,-1.740263667
32,1303,19,13,18.010009368421052,20.43350369230769,0.40625,-2.423494324,2.4234943238866364
38,1304,30,8,20.71623226666667,21.36471925,0.21052631578947367,-0.648486983,0.6484869833333313
64,1305,56,8,19.918236642857146,21.970156,0.125,-2.051919357,2.051919357142854
25,1306,21,4,20.047148476190475,21.20363425,0.16,-1.156485774,1.1564857738095249
20,1307,15,5,21.332966,20.8738916,0.25,0.45907439999999866,-0.4590744
34,1308,31,3,21.322674032258064,21.771599666666663,0.088235294,-0.448925634,0.44892563440859945
29,1309,24,5,19.988286708333334,24.0251316,0.1724137931034483,-4.036844892,4.036844891666668
118,1310,104,14,20.036758990384616,20.715096214285715,0.11864406779661017,-0.678337224,0.6783372239010994
28,1311,21,7,20.41888838095238,21.412772571428572,0.25,-0.99388419,0.9938841904761908
33,1312,27,6,21.23025851851852,20.75996533333333,0.18181818181818182,0.4702931851851915,-0.470293185
